"id","ip","status","cam1","cam2","cam3","cam4","hdd","latency","cdate","login_status","last_communication","atmid","capacity","freespace","recording_from","recording_to","dvrtype","live"
"1","10.236.40.52",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3DCGW01",,,,,"CPPLUS","Y"
"2","10.236.40.56",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3DCJB05",,,,,"CPPLUS","Y"
"3","10.60.242.67",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3DCRU01",,,,,"CPPLUS","Y"
"4","10.236.40.47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3DCUJ03",,,,,"CPPLUS","Y"
"5","10.236.40.43","0",NULL,NULL,NULL,NULL,NULL,,"2019-08-01 15:36:02","0","0000-00-00 00:00:00","P3DCMR10",,,,,"Hikvision","Y"
"6","10.236.40.17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3DCDW02",,,,,"CPPLUS","Y"
"7","10.236.40.32",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3DCPI03",,,,,"CPPLUS","Y"
"8","10.236.40.21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3DCPI02",,,,,"CPPLUS","Y"
"9","10.236.40.16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3DCBE02",,,,,"CPPLUS","Y"
"10","10.236.40.31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3DCPI01",,,,,"CPPLUS","Y"
"11","10.236.40.35",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3DCBE01",,,,,"CPPLUS","Y"
"12","10.236.40.42",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3DCUJ01",,,,,"CPPLUS","Y"
"13","10.236.40.2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3DCIN11",,,,,"CPPLUS","Y"
"14","10.236.40.44",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3DCKE01",,,,,"CPPLUS","Y"
"15","10.236.40.38",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3DCBE03",,,,,"CPPLUS","Y"
"16","10.236.40.19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3DCRU02",,,,,"CPPLUS","Y"
"17","10.236.40.62",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3DCBP06",,,,,"CPPLUS","Y"
"18","10.236.40.40","0","working","working","not working",NULL,"ok","1206ms","2019-08-01 15:36:10","0","2019-08-01 15:12:50","P3DCIN02","1907729","0","2019-05-11T06:00:01Z",,"Hikvision","Y"
"19","10.236.40.49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3DCGW07",,,,,"CPPLUS","Y"
"20","10.236.40.53",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3DCGW06",,,,,"CPPLUS","Y"
"21","10.236.40.30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3DCMW01",,,,,"CPPLUS","Y"
"22","10.236.40.29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3DCIN12",,,,,"CPPLUS","Y"
