id,ip,status,cam1,cam2,cam3,cam4,hdd,latency,cdate,login_status,last_communication,atmid,capacity,freespace,recording_from,recording_to,dvrtype
5,10.236.40.43,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 16:06,0,0000-00-00 00:00:00,P3DCMR10,,,,,Hikvision
18,10.236.40.40,1,working,working,not working,NULL,ok,668ms,30-07-2019 16:06,0,30-07-2019 16:06,P3DCIN02,1907729,0,2019-05-11T06:00:01Z,,Hikvision
31,10.60.241.60,1,working,working,working,NULL,ok,711ms,30-07-2019 16:06,0,30-07-2019 16:06,P1DCMU24,1907729,0,2019-06-17T14:24:40Z,,Hikvision
32,10.60.240.42,1,working,working,working,NULL,ok,532ms,30-07-2019 16:07,0,30-07-2019 16:07,P1DCMU95,1907729,0,2019-04-24T05:14:17Z,,Hikvision
33,10.60.240.114,1,working,working,working,NULL,unformatted,216ms,30-07-2019 16:46,0,30-07-2019 16:46,P1DCMU28,1907729,0,,,Hikvision
34,10.60.240.91,1,working,working,working,NULL,ok,340ms,30-07-2019 16:07,0,30-07-2019 16:07,P1DCMU39,1907729,0,2019-07-16T19:06:35Z,,Hikvision
35,10.60.240.35,1,working,working,working,NULL,ok,857ms,30-07-2019 16:08,0,30-07-2019 16:08,P1DCMU73,1907729,0,2019-06-19T11:39:49Z,,Hikvision
36,10.185.181.68,1,NULL,NULL,NULL,NULL,NULL,NULL,30-07-2019 16:08,1,0000-00-00 00:00:00,P1DCMU52,,,,,Hikvision
37,10.60.240.135,1,working,working,working,NULL,ok,421ms,30-07-2019 16:08,0,30-07-2019 16:08,P1DCMU44,1907729,1171456,2019-07-05T13:22:28Z,,Hikvision
40,10.60.241.247,1,working,working,working,NULL,ok,749ms,30-07-2019 16:09,0,30-07-2019 16:09,P1DCMU17,1907729,0,2019-05-28T15:04:59Z,,Hikvision
44,10.60.240.39,1,working,working,working,NULL,ok,362ms,30-07-2019 16:09,0,30-07-2019 16:09,P1DCMU47,1907729,0,,,Hikvision
45,10.60.240.126,1,working,working,working,NULL,ok,780ms,30-07-2019 16:10,0,30-07-2019 16:10,P3DCMU06,1907729,0,2019-06-02T03:51:33Z,,Hikvision
