id,ip,status,cam1,cam2,cam3,cam4,hdd,latency,cdate,login_status,last_communication,atmid,capacity,freespace,recording_from,recording_to,dvrtype,live
5,10.236.40.43,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 22:24,0,0000-00-00 00:00:00,P3DCMR10,,,,,Hikvision,Y
18,10.236.40.40,1,working,working,not working,NULL,ok,1680ms,30-07-2019 22:24,1,30-07-2019 21:00,P3DCIN02,1907729,0,2019-05-11T06:00:01Z,,Hikvision,Y
31,10.60.241.60,1,working,working,working,NULL,ok,246ms,30-07-2019 22:24,0,30-07-2019 22:24,P1DCMU24,1907729,0,2019-06-17T14:24:40Z,,Hikvision,Y
32,10.60.240.42,1,working,working,working,NULL,ok,463ms,30-07-2019 22:25,0,30-07-2019 22:25,P1DCMU95,1907729,0,2019-04-24T05:14:17Z,,Hikvision,Y
34,10.60.240.91,1,working,working,working,NULL,ok,385ms,30-07-2019 22:25,0,30-07-2019 22:25,P1DCMU39,1907729,0,2019-07-16T19:06:35Z,,Hikvision,Y
35,10.60.240.35,1,working,working,working,NULL,ok,879ms,30-07-2019 22:26,0,30-07-2019 22:26,P1DCMU73,1907729,0,2019-06-19T11:39:49Z,,Hikvision,Y
36,10.185.181.68,1,NULL,NULL,NULL,NULL,NULL,NULL,30-07-2019 22:27,1,0000-00-00 00:00:00,P1DCMU52,,,,,Hikvision,Y
37,10.60.240.135,1,working,working,working,NULL,ok,382ms,30-07-2019 22:27,0,30-07-2019 22:27,P1DCMU44,1907729,1159168,2019-07-05T13:22:28Z,,Hikvision,Y
40,10.60.241.247,1,working,working,working,NULL,ok,904ms,30-07-2019 22:27,0,30-07-2019 22:27,P1DCMU17,1907729,0,2019-05-28T15:04:59Z,,Hikvision,Y
44,10.60.240.39,1,working,working,working,NULL,ok,566ms,30-07-2019 22:28,0,30-07-2019 22:28,P1DCMU47,1907729,0,,,Hikvision,Y
45,10.60.240.126,1,working,working,working,NULL,ok,258ms,30-07-2019 22:28,0,30-07-2019 22:28,P3DCMU06,1907729,0,2019-06-02T03:51:33Z,,Hikvision,Y
46,10.60.240.140,1,working,working,not working,NULL,ok,479ms,30-07-2019 22:29,0,30-07-2019 22:29,P1DCMU20,1907729,0,2019-05-21T23:46:43Z,,Hikvision,Y
47,10.60.240.36,0,working,working,working,NULL,ok,1287ms,30-07-2019 22:20,0,30-07-2019 21:52,P1DCMU18,1907729,0,2019-06-11T11:09:40Z,,Hikvision,Y
49,10.60.240.115,1,working,working,working,NULL,ok,666ms,30-07-2019 22:30,0,30-07-2019 22:30,P1DCMU80,1907729,1472512,2019-05-28T15:43:54Z,,Hikvision,Y
50,10.236.40.161,1,working,working,working,NULL,ok,328ms,30-07-2019 22:30,0,30-07-2019 22:30,P1DCHY60,1907729,0,2019-04-21T12:39:01Z,,Hikvision,Y
52,10.60.240.141,1,working,working,working,NULL,ok,933ms,30-07-2019 22:30,0,30-07-2019 22:30,P1DCMU40,1907729,0,2019-06-28T03:37:30Z,,Hikvision,Y
56,10.60.240.164,1,working,working,working,NULL,ok,426ms,30-07-2019 22:31,0,30-07-2019 22:31,P1DCMU07,1907729,1901568,,,Hikvision,Y
58,10.60.240.116,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 22:31,0,0000-00-00 00:00:00,P1DCMU41,,,,,Hikvision,Y
59,10.236.40.142,1,working,working,working,NULL,ok,243ms,30-07-2019 22:31,0,30-07-2019 22:31,P1DCHY99,1907729,0,,,Hikvision,Y
62,10.60.242.136,1,working,working,working,NULL,ok,739ms,30-07-2019 22:32,0,30-07-2019 22:32,P1DCMU45,1907729,0,2019-05-18T06:52:35Z,,Hikvision,Y
66,10.236.40.147,1,working,working,working,NULL,ok,971ms,30-07-2019 22:32,0,30-07-2019 22:32,P1DCHY23,1907729,0,2019-06-21T13:13:22Z,,Hikvision,Y
71,10.236.40.112,1,working,working,working,NULL,ok,827ms,30-07-2019 22:33,0,30-07-2019 22:33,P1DCHD10,1907729,0,2019-05-30T04:42:15Z,,Hikvision,Y
73,10.60.240.112,1,working,working,working,NULL,ok,698ms,30-07-2019 22:33,0,30-07-2019 22:33,P3DCMU11,1907729,0,2019-05-31T15:59:36Z,,Hikvision,Y
75,10.236.40.167,1,working,working,working,NULL,ok,457ms,30-07-2019 22:34,0,30-07-2019 22:34,P1DCHY26,1907729,0,2019-07-18T11:30:50Z,,Hikvision,Y
80,10.236.40.107,1,working,working,working,NULL,notexist,297ms,30-07-2019 22:34,0,30-07-2019 22:34,P1DCHY61,0,0,,,Hikvision,Y
81,10.60.240.99,1,working,working,working,NULL,ok,351ms,30-07-2019 22:35,0,30-07-2019 22:35,P1DCMU38,1907729,0,2019-06-05T06:42:24Z,,Hikvision,Y
84,10.236.40.177,1,working,working,working,NULL,ok,235ms,30-07-2019 22:35,0,30-07-2019 22:35,P1DCHY13,1907729,0,2019-07-10T23:39:39Z,,Hikvision,Y
86,10.236.40.106,1,working,working,working,NULL,ok,571ms,30-07-2019 22:35,0,30-07-2019 22:35,P1DCHY78,1907729,0,2019-07-10T22:49:40Z,,Hikvision,Y
89,10.236.40.168,1,working,working,working,NULL,ok,274ms,30-07-2019 22:36,0,30-07-2019 22:36,P1DCHY93,1907729,0,2019-06-07T09:30:56Z,,Hikvision,Y
91,10.60.241.82,1,working,working,working,NULL,ok,780ms,30-07-2019 22:36,0,30-07-2019 22:36,P3ECDE13,1907729,0,2019-06-16T19:29:35Z,,Hikvision,Y
97,10.236.40.89,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 22:36,0,0000-00-00 00:00:00,P1DCHY53,,,,,Hikvision,Y
100,10.60.241.98,1,working,working,working,NULL,ok,813ms,30-07-2019 22:37,0,30-07-2019 22:37,P1DCDL02,1907729,0,2019-07-14T09:37:07Z,,Hikvision,Y
101,10.60.241.89,1,NULL,NULL,NULL,NULL,NULL,NULL,30-07-2019 22:06,1,0000-00-00 00:00:00,P1DCDL40,,,,,Hikvision,Y
102,10.185.181.138,1,working,working,working,NULL,error,488ms,30-07-2019 22:06,1,30-07-2019 21:11,P1DCHY67,1907729,0,,,Hikvision,Y
103,10.236.40.102,1,working,working,not working,NULL,ok,316ms,30-07-2019 22:06,0,30-07-2019 22:06,P1DCHY43,1907729,0,,,Hikvision,Y
104,10.236.40.252,1,working,working,not working,NULL,ok,318ms,30-07-2019 22:07,1,30-07-2019 21:38,P1DCDL33,1907729,0,2019-06-05T20:42:44Z,,Hikvision,Y
105,10.236.212.1,1,working,working,working,NULL,ok,210ms,30-07-2019 21:40,0,30-07-2019 21:40,P1DCDL48,1907729,0,2019-05-09T03:29:45Z,,Hikvision,Y
106,10.236.212.4,0,working,working,working,NULL,ok,,30-07-2019 22:08,1,30-07-2019 17:38,P1DCDL46,1907729,0,2019-06-17T10:13:47Z,,Hikvision,Y
107,10.236.40.108,1,working,working,working,NULL,ok,460ms,30-07-2019 22:09,0,30-07-2019 22:09,P1DCHY12,1907729,0,2019-07-16T20:07:04Z,,Hikvision,Y
108,10.236.212.31,1,working,working,working,NULL,ok,527ms,30-07-2019 22:09,0,30-07-2019 22:09,P1DCPT09,1907729,1733632,2019-07-25T14:33:10Z,,Hikvision,Y
112,10.236.40.199,1,working,working,working,NULL,ok,344ms,30-07-2019 22:09,0,30-07-2019 22:09,P1DCDL59,1907729,0,2019-07-04T18:59:45Z,,Hikvision,Y
113,10.236.40.197,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 22:09,0,0000-00-00 00:00:00,P1DCDL11,,,,,Hikvision,Y
114,10.236.40.97,1,working,working,working,NULL,ok,396ms,30-07-2019 22:10,0,30-07-2019 22:10,P1DCHY40,1907729,0,2019-05-09T00:51:32Z,,Hikvision,Y
115,10.236.40.93,1,working,working,working,NULL,ok,526ms,30-07-2019 22:10,0,30-07-2019 22:10,P1DCHY59,1907729,0,2019-07-01T13:11:34Z,,Hikvision,Y
116,10.236.40.95,1,working,working,working,NULL,ok,376ms,30-07-2019 22:10,0,30-07-2019 22:10,P1DCHY66,1907729,0,2019-06-11T01:27:21Z,,Hikvision,Y
117,10.236.212.19,1,working,working,working,NULL,ok,383ms,30-07-2019 22:10,0,30-07-2019 22:10,P1DCAV04,1907729,0,2019-07-12T04:29:19Z,,Hikvision,Y
119,10.60.240.75,1,working,working,working,NULL,ok,502ms,30-07-2019 22:10,0,30-07-2019 22:10,P1DCAV03,1907729,0,2019-07-14T17:24:58Z,,Hikvision,Y
120,10.60.240.18,1,working,working,working,NULL,ok,586ms,30-07-2019 22:11,0,30-07-2019 22:11,P1DCAV05,1907729,0,2019-05-03T10:00:17Z,,Hikvision,Y
121,10.60.240.17,1,working,working,working,NULL,,384ms,30-07-2019 21:44,0,30-07-2019 21:44,P1DCAV02,,,,,Hikvision,Y
122,10.236.212.57,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 22:12,0,0000-00-00 00:00:00,P1DCDL26,,,,,Hikvision,Y
123,10.236.40.198,1,working,working,working,NULL,ok,379ms,30-07-2019 22:12,0,30-07-2019 22:12,P1DCDL44,1907729,463872,2019-04-25T13:49:04Z,,Hikvision,Y
125,10.236.40.254,1,NULL,NULL,NULL,NULL,NULL,NULL,30-07-2019 22:13,1,0000-00-00 00:00:00,P1DCDL67,,,,,Hikvision,Y
126,10.236.40.196,0,NULL,NULL,NULL,NULL,NULL,2286ms,30-07-2019 22:13,0,0000-00-00 00:00:00,P1DCDL36,,,,,Hikvision,Y
127,10.236.40.103,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 22:13,0,0000-00-00 00:00:00,P1DCHY85,,,,,Hikvision,Y
128,10.236.40.98,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 22:14,0,0000-00-00 00:00:00,P1DCHY88,,,,,Hikvision,Y
131,10.185.180.71,1,working,working,working,NULL,ok,779ms,30-07-2019 22:14,0,30-07-2019 22:14,P1DCHD03,1907729,0,2019-06-27T01:02:51Z,,Hikvision,Y
134,10.236.40.110,1,working,working,working,NULL,ok,496ms,30-07-2019 22:14,0,30-07-2019 22:14,P1DCHY15,1907729,0,2019-06-07T10:13:48Z,,Hikvision,Y
135,10.236.212.3,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 22:14,0,0000-00-00 00:00:00,P1DCDL37,,,,,Hikvision,Y
136,10.236.40.220,1,working,working,working,NULL,ok,205ms,30-07-2019 22:15,0,30-07-2019 22:15,P1DCHY22,1907729,0,2019-06-13T12:56:53Z,,Hikvision,Y
137,10.236.40.222,1,working,working,working,NULL,ok,283ms,30-07-2019 22:15,0,30-07-2019 22:15,P1DCHY70,1907729,0,2019-05-04T20:50:44Z,,Hikvision,Y
138,10.60.241.96,1,working,working,working,NULL,ok,414ms,30-07-2019 22:15,0,30-07-2019 22:15,P1DCDL31,1907729,0,2019-06-05T00:52:16Z,,Hikvision,Y
139,10.60.243.228,1,working,working,working,NULL,ok,392ms,30-07-2019 22:15,0,30-07-2019 22:15,P1DCDL03,1907729,419840,2019-04-26T13:59:56Z,,Hikvision,Y
