"id","panelid","seqno","zone","alarm","createtime","receivedtime","comment","status","sendtoclient","closedBy","closedtime","sendip","alerttype","location","priority"
"10905997","666666","0346","110","RO","2018-10-16 14:46:34","2018-10-16 14:56:27",NULL,"O",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10906019","666666","0347","110","RO","2018-10-16 14:46:34","2018-10-16 14:56:52",NULL,"O",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10906023","666666","0348","110","RO","2018-10-16 14:46:34","2018-10-16 14:56:55",NULL,"O",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10906131","666666","0349","110","RO","2018-10-16 14:46:34","2018-10-16 14:59:02",NULL,"O",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10906233","666666","0350","110","RO","2018-10-16 14:46:34","2018-10-16 15:01:09",NULL,"O",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10906313","666666","0351","180","BA","2018-10-16 15:02:33","2018-10-16 15:02:34",NULL,"O",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10906322","666666","0352","180","BA","2018-10-16 15:02:36","2018-10-16 15:02:43",NULL,"O",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10906384","666666","0353","023","BR","2018-10-16 15:04:01","2018-10-16 15:04:02",NULL,"O",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10906388","666666","0354","023","BA","2018-10-16 15:04:01","2018-10-16 15:04:05",NULL,"O",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10906393","666666","0355","100","RC","2018-10-16 15:04:01","2018-10-16 15:04:07",NULL,"O",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10906396","666666","0356","023","BR","2018-10-16 15:04:01","2018-10-16 15:04:10",NULL,"O",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10906400","666666","0357","023","BA","2018-10-16 15:04:01","2018-10-16 15:04:12",NULL,"O",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10906402","666666","0358","100","RO","2018-10-16 15:04:12","2018-10-16 15:04:14",NULL,"O",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10906940","666666","0360","023","BA","2018-10-16 15:13:03","2018-10-16 15:13:11",NULL,"O",NULL,NULL,NULL,NULL,NULL,NULL,NULL
